Date,Holiday,Functioning Day,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Hour,Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons
2017-01-12,0,1,0.0,0.0,0.0,1.0,0,254,-5.2,37,2.2,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,1,204,-5.5,38,0.8,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,2,173,-6.0,39,1.0,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,3,107,-6.2,40,0.9,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,4,78,-6.0,36,2.3,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,5,100,-6.4,37,1.5,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,6,181,-6.6,35,1.3,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,7,460,-7.4,38,0.9,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,8,930,-7.6,37,1.1,2000,0.01,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,9,490,-6.5,27,0.5,1928,0.23,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,10,339,-3.5,24,1.2,1996,0.65,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,11,360,-0.5,21,1.3,1936,0.94,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,12,449,1.7,23,1.4,2000,1.11,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,13,451,2.4,25,1.6,2000,1.16,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,14,447,3.0,26,2.0,2000,1.01,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,15,463,2.1,36,3.2,2000,0.54,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,16,484,1.2,54,4.2,793,0.24,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,17,555,0.8,58,1.6,2000,0.08,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,18,862,0.6,66,1.4,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,19,600,0.0,77,1.7,2000,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,20,426,-0.3,79,1.5,1913,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,21,405,-0.8,81,0.8,1687,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,22,398,-0.9,83,1.5,1380,0.0,0.0,0.0,Winter
2017-01-12,0,1,0.0,0.0,0.0,1.0,23,323,-1.3,84,1.0,1265,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,0,328,-1.8,87,1.1,994,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,1,308,-2.2,86,0.6,990,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,2,262,-2.9,86,1.5,1256,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,3,167,-3.5,81,2.2,1221,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,4,89,-3.8,79,2.0,1167,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,5,79,-4.0,79,1.5,1202,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,6,70,-4.3,82,2.1,1178,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,7,146,-4.4,81,2.5,1276,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,8,219,-4.2,79,2.1,1436,0.01,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,9,328,-2.9,68,1.6,1487,0.3,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,10,334,-0.4,57,1.6,1309,0.8,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,11,388,1.9,49,1.8,1406,1.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,12,479,4.3,41,1.3,1666,1.09,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,13,606,6.0,36,1.8,1780,1.12,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,14,611,7.3,35,1.3,1955,0.99,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,15,589,7.6,41,2.3,1953,0.74,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,16,618,6.4,48,2.6,1945,0.22,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,17,572,6.0,51,2.5,1891,0.06,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,18,489,5.5,53,1.5,1697,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,19,385,5.0,52,2.3,1666,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,20,359,4.6,51,1.2,1585,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,21,377,4.1,55,1.2,1448,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,22,354,3.5,54,1.5,1446,0.0,0.0,0.0,Winter
2017-02-12,0,1,0.0,0.0,0.0,1.0,23,366,4.0,56,1.0,1352,0.0,0.0,0.0,Winter
2017-03-12,0,1,0.0,0.0,0.0,1.0,0,342,4.0,58,1.4,1296,0.0,0.0,0.0,Winter
2017-03-12,0,1,0.0,0.0,0.0,1.0,1,227,3.9,69,1.7,485,0.0,0.0,0.0,Winter
2017-03-12,0,1,0.0,0.0,0.0,1.0,2,228,3.3,79,1.4,830,0.0,0.0,0.0,Winter
2017-03-12,0,1,0.0,0.0,0.0,1.0,3,117,3.4,71,1.6,1011,0.0,0.5,0.0,Winter
2017-03-12,0,1,0.0,0.0,0.0,1.0,4,76,3.5,73,1.0,1060,0.0,0.0,0.0,Winter
